"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"3149",6,1,3,0,28,11,17,8,14,10,6,3,1,2,0,0,0,0,1
"3150",1,3,0,3,6,9,1,3,9,16,2,0,0,2,0,0,1,0,0
"3151",1,2,0,1,9,10,2,4,12,15,2,7,1,2,0,0,1,0,0
"3152",1,1,0,1,14,5,6,3,13,12,10,3,4,2,0,0,0,1,0
"3153",1,1,0,0,12,5,5,1,14,11,10,4,3,3,0,0,0,1,0
"3154",0,0,0,0,3,15,0,2,8,11,1,8,1,1,0,0,0,1,0
"3155",0,1,0,1,14,9,6,2,17,10,3,4,3,2,0,0,1,0,0
"3156",3,0,1,0,11,17,4,7,9,8,2,8,1,0,1,0,0,0,1
"3157",3,2,0,1,14,11,6,3,13,16,4,5,3,2,0,1,0,0,1
"3158",2,1,2,1,10,10,3,2,12,18,4,6,2,3,0,0,0,0,1
"3159",0,1,0,1,12,13,1,3,13,10,2,3,2,3,0,0,1,0,0
"3160",4,0,3,0,16,5,6,2,12,12,4,3,0,0,0,0,0,0,1
"3161",1,2,1,1,10,21,5,5,5,15,5,8,2,3,0,0,1,0,0
"3162",2,1,1,1,9,12,5,6,13,16,3,8,2,1,0,0,0,0,1
"3163",1,1,0,1,10,11,4,2,7,10,2,6,3,2,0,0,0,1,0
"3164",2,2,1,1,11,6,3,2,15,12,2,3,4,4,0,0,0,1,0
"3165",2,0,0,0,27,6,7,1,5,9,9,4,1,3,0,0,0,0,1
"3166",5,4,1,1,18,12,9,4,12,24,10,6,4,5,0,0,0,0,1
"3167",3,1,1,1,16,9,3,3,12,13,3,10,3,5,0,0,0,0,1
"3168",1,1,1,1,17,6,8,2,16,16,8,4,3,1,0,0,0,1,0
"3169",1,0,1,0,17,13,7,1,11,15,5,2,0,2,0,0,0,0,1
"3170",0,1,0,1,11,14,2,1,24,14,3,3,3,0,1,0,1,0,0
"3171",3,0,2,0,9,17,4,3,11,13,4,9,3,1,0,0,0,0,1
"3172",1,3,1,0,14,10,5,4,14,9,9,2,2,3,2,0,1,0,0
"3173",2,0,2,0,10,14,4,4,7,13,4,9,3,2,0,0,0,0,1
"3174",2,1,0,0,22,17,6,5,8,12,3,4,3,1,0,0,0,0,1
"3175",5,0,2,0,28,1,15,0,11,17,5,0,0,4,0,0,0,0,1
"3176",3,1,2,0,11,17,3,5,12,8,3,4,2,1,0,1,0,0,1
"3177",1,5,0,1,10,19,3,10,10,11,3,2,3,3,0,0,1,0,0
"3178",4,3,0,2,12,10,8,3,9,17,4,9,2,2,0,0,0,0,1
"3179",1,1,0,1,13,10,6,2,13,11,6,3,2,3,0,0,0,1,0
"3180",1,0,0,0,16,6,4,2,6,11,13,7,1,1,0,0,0,0,1
"3181",3,1,1,1,21,12,6,5,9,6,7,7,0,0,0,0,0,0,1
"3182",3,2,2,1,16,17,7,4,14,18,4,11,2,2,0,0,0,0,1
"3183",3,3,1,0,15,14,6,6,16,14,4,7,2,4,0,0,0,1,0
"3184",4,2,3,0,10,19,6,4,10,7,3,11,2,1,0,0,0,0,1
"3185",3,0,0,0,14,11,5,2,10,8,7,4,1,2,0,0,0,0,1
"3186",3,2,1,1,11,11,6,4,11,16,2,4,2,2,0,0,0,0,1
"3187",1,0,0,0,12,6,2,1,6,10,3,1,2,4,0,0,0,0,1
"3188",2,2,1,2,18,7,3,3,7,8,11,4,2,0,0,0,0,1,0
